alimento,consumo,identifier,entidad,code_upm,est_var,pondef,indicef,nse4f,nse5f,area,region,sexo,edadanos
néctares de frutas o pulpa de frutas industrializados con az,40.71428680419922,folio_080924__intp_4,08,M0821,82,8820.2822265625,1.1565908193588257,3,alto,rural,norte,masculino,17.013004302978516
refresco normal,205.7142791748047,folio_080963__intp_4,08,M0822,83,20826.87890625,2.7889907360076904,4,muy alto,urbano,norte,masculino,16.64613151550293
refresco normal,180,folio_081061__intp_2,08,R0809,82,11311.37890625,-0.7077261805534363,2,bajo,rural,norte,femenino,51.61122512817383
jugos naturales con azúcar,34.28571319580078,folio_081074__intp_3,08,R0809,82,5365.75634765625,-1.5142074823379517,1,muy bajo,rural,norte,femenino,12.465434074401855
refresco normal,102.85713958740234,folio_081074__intp_3,08,R0809,82,5365.75634765625,-1.5142074823379517,1,muy bajo,rural,norte,femenino,12.465434074401855
néctares de frutas o pulpa de frutas industrializados con az,102.85713958740234,folio_081074__intp_3,08,R0809,82,5365.75634765625,-1.5142074823379517,1,muy bajo,rural,norte,femenino,12.465434074401855
refresco normal,40.71428680419922,folio_081081__intp_3,08,R0809,82,2682.878173828125,0.39909255504608154,2,medio,rural,norte,femenino,17.965776443481445
jugos naturales con azúcar,34.28571319580078,folio_081081__intp_3,08,R0809,82,2682.878173828125,0.39909255504608154,2,medio,rural,norte,femenino,17.965776443481445
refresco normal,154.2857208251953,folio_081102__intp_5,08,R0810,85,67420.78125,2.9884085655212402,4,muy alto,urbano,norte,femenino,23.126625061035156
refresco normal,214.2857208251953,folio_081120__intp_1,08,R0810,85,56328.9765625,1.9938117265701294,4,muy alto,urbano,norte,femenino,58.13825988769531
aguas de fruta natural con azúcar,122.14286041259766,folio_081120__intp_1,08,R0810,85,56328.9765625,1.9938117265701294,4,muy alto,urbano,norte,femenino,58.13825988769531
refresco normal,600,folio_081139__intp_1,08,M0825,85,28870.51953125,0.1674633026123047,2,medio,urbano,norte,masculino,43.74811553955078
refresco normal,25.714284896850586,folio_081205__intp_1,08,R0811,86,4463.90576171875,0.9793130159378052,3,alto,urbano,norte,femenino,44.44626998901367
néctares de frutas o pulpa de frutas industrializados con az,77.14286041259766,folio_081205__intp_1,08,R0811,86,4463.90576171875,0.9793130159378052,3,alto,urbano,norte,femenino,44.44626998901367
refresco normal,500,folio_081208__intp_3,08,R0811,86,5640.8916015625,0.49534621834754944,3,medio,urbano,norte,masculino,17.82614517211914
refresco normal,392.8571472167969,folio_081241__intp_2,08,R0811,86,8927.8115234375,1.4035006761550903,3,alto,urbano,norte,femenino,46.907596588134766
bebidas o aguas de sabor industrializadas con azúcar (frutsi,34.28571319580078,folio_081259__intp_8,08,M0826,84,5611.23583984375,0.3345858156681061,2,medio,urbano,norte,masculino,12.158795356750488
refresco normal,600,folio_081259__intp_8,08,M0826,84,5611.23583984375,0.3345858156681061,2,medio,urbano,norte,masculino,12.158795356750488
refresco normal,102.85713958740234,folio_081263__intp_2,08,M0826,84,16851.21484375,3.0149993896484375,4,muy alto,urbano,norte,femenino,26.225872039794922
aguas de fruta natural con azúcar,122.14286041259766,folio_081263__intp_2,08,M0826,84,16851.21484375,3.0149993896484375,4,muy alto,urbano,norte,femenino,26.225872039794922
refresco normal,257.1428527832031,folio_081272__intp_3,08,M0826,84,5611.23583984375,-1.2879799604415894,1,bajo,urbano,norte,masculino,12.117727279663086
aguas de fruta natural con azúcar,85.71428680419922,folio_081272__intp_3,08,M0826,84,5611.23583984375,-1.2879799604415894,1,bajo,urbano,norte,masculino,12.117727279663086
refresco normal,514.28570556640625,folio_081276__intp_1,08,M0826,84,19805.509765625,-1.915715217590332,1,muy bajo,urbano,norte,masculino,52.26557159423828
refresco normal,240,folio_081289__intp_3,08,M0827,82,1548.8619384765625,0.31960782408714294,2,medio,rural,norte,femenino,14.080765724182129
bebidas o aguas de sabor industrializadas con azúcar (frutsi,102.85713958740234,folio_081289__intp_3,08,M0827,82,1548.8619384765625,0.31960782408714294,2,medio,rural,norte,femenino,14.080765724182129
refresco normal,102.85713958740234,folio_081298__intp_1,08,M0827,82,8678.6171875,-1.5181182622909546,1,muy bajo,rural,norte,masculino,79.665985107421875
refresco normal,285,folio_081308__intp_2,08,M0827,82,7384.06787109375,-0.4703398048877716,2,bajo,rural,norte,femenino,30.830936431884766
refresco normal,1200,folio_081322__intp_1,08,M0828,85,23048.1875,2.37050724029541,4,muy alto,urbano,norte,femenino,39.260780334472656
refresco normal,102.85713958740234,folio_081337__intp_3,08,M0828,85,17356.513671875,0.9803122878074646,3,alto,urbano,norte,masculino,12.396987915039062
néctares de frutas o pulpa de frutas industrializados con az,34.28571319580078,folio_081337__intp_3,08,M0828,85,17356.513671875,0.9803122878074646,3,alto,urbano,norte,masculino,12.396987915039062
bebidas o aguas de sabor industrializadas con azúcar (frutsi,257.1428527832031,folio_081343__intp_1,08,M0828,85,15315.4580078125,-0.5789704322814941,2,bajo,urbano,norte,masculino,57.319644927978516
bebidas o aguas de sabor industrializadas con azúcar (frutsi,205.7142791748047,folio_081352__intp_2,08,M0828,85,54940.140625,-0.13187550008296967,2,medio,urbano,norte,femenino,46.09719467163086
néctares de frutas o pulpa de frutas industrializados con az,34.28571319580078,folio_081352__intp_2,08,M0828,85,54940.140625,-0.13187550008296967,2,medio,urbano,norte,femenino,46.09719467163086
refresco normal,960,folio_081352__intp_2,08,M0828,85,54940.140625,-0.13187550008296967,2,medio,urbano,norte,femenino,46.09719467163086
refresco normal,240,folio_081367__intp_10,08,M0829,85,26932.521484375,0.018263034522533417,2,medio,urbano,norte,masculino,15.389458656311035
néctares de frutas o pulpa de frutas industrializados con az,102.85713958740234,folio_081405__intp_1,08,M0829,85,11921.4765625,-1.1958723068237305,1,bajo,urbano,norte,femenino,73.598907470703125
refresco normal,305.3571472167969,folio_081405__intp_1,08,M0829,85,11921.4765625,-1.1958723068237305,1,bajo,urbano,norte,femenino,73.598907470703125
bebidas o aguas de sabor industrializadas con azúcar (frutsi,102.85713958740234,folio_081406__intp_3,08,M0829,85,8977.5068359375,1.2587556838989258,3,alto,urbano,norte,masculino,13.911019325256348
aguas de fruta natural con azúcar,85.71428680419922,folio_081406__intp_3,08,M0829,85,8977.5068359375,1.2587556838989258,3,alto,urbano,norte,masculino,13.911019325256348
refresco normal,25.714284896850586,folio_081406__intp_3,08,M0829,85,8977.5068359375,1.2587556838989258,3,alto,urbano,norte,masculino,13.911019325256348
refresco normal,102.85713958740234,folio_081434__intp_4,08,M0830,85,63469.58203125,1.8500659465789795,4,muy alto,urbano,norte,femenino,24.9582462310791
jugos naturales con azúcar,102.85713958740234,folio_081434__intp_4,08,M0830,85,63469.58203125,1.8500659465789795,4,muy alto,urbano,norte,femenino,24.9582462310791
refresco normal,559.8214111328125,folio_081459__intp_1,08,M0831,85,11226.056640625,0.06552157551050186,2,medio,urbano,norte,femenino,47.318275451660156
refresco normal,102.85713958740234,folio_081470__intp_1,08,M0831,85,11226.056640625,0.6607564687728882,3,alto,urbano,norte,femenino,43.79739761352539
néctares de frutas o pulpa de frutas industrializados con az,188.57142639160156,folio_081470__intp_1,08,M0831,85,11226.056640625,0.6607564687728882,3,alto,urbano,norte,femenino,43.79739761352539
refresco normal,570,folio_081475__intp_1,08,M0831,85,11226.056640625,-0.17600522935390472,2,medio,urbano,norte,femenino,54.36276626586914
refresco normal,34.28571319580078,folio_081476__intp_4,08,M0831,85,10650.564453125,1.232164740562439,3,alto,urbano,norte,femenino,16.93086814880371
refresco normal,68.57142639160156,folio_081490__intp_3,08,M0832,85,42125.828125,0.21844223141670227,2,medio,urbano,norte,femenino,24.34223175048828
refresco normal,240,folio_081497__intp_1,08,M0832,85,16503.7265625,-1.2643005847930908,1,bajo,urbano,norte,masculino,57.74674987792969
refresco normal,257.1428527832031,folio_081521__intp_2,08,M0833,86,11279.0849609375,-0.2972940504550934,2,medio,urbano,norte,femenino,31.526351928710938
refresco normal,34.28571319580078,folio_081534__intp_2,08,M0833,86,9463.48046875,-0.5757374167442322,2,bajo,urbano,norte,femenino,74.31348419189453
refresco normal,102.85713958740234,folio_081551__intp_3,08,M0833,86,2244.586181640625,-0.20159682631492615,2,medio,urbano,norte,femenino,17.06502342224121
aguas de fruta natural con azúcar,17.14285659790039,folio_081551__intp_3,08,M0833,86,2244.586181640625,-0.20159682631492615,2,medio,urbano,norte,femenino,17.06502342224121
refresco normal,925.71429443359375,folio_081568__intp_3,08,M0834,86,3271.717041015625,-0.05708780139684677,2,medio,urbano,norte,masculino,17.281314849853516
bebidas o aguas de sabor industrializadas con azúcar (frutsi,128.57142639160156,folio_081577__intp_2,08,M0834,86,12343.150390625,2.2695648670196533,4,muy alto,urbano,norte,femenino,41.007530212402344
refresco normal,1200,folio_081577__intp_2,08,M0834,86,12343.150390625,2.2695648670196533,4,muy alto,urbano,norte,femenino,41.007530212402344
bebidas o aguas de sabor industrializadas con azúcar (frutsi,377.1428527832031,folio_081582__intp_3,08,M0834,86,32807.95703125,-0.7005805373191833,2,bajo,urbano,norte,masculino,35.01984786987305
jugos naturales con azúcar,102.85713958740234,folio_081592__intp_2,08,M0834,86,2456.339599609375,2.0482614040374756,4,muy alto,urbano,norte,femenino,16.906227111816406
refresco normal,102.85713958740234,folio_081592__intp_2,08,M0834,86,2456.339599609375,2.0482614040374756,4,muy alto,urbano,norte,femenino,16.906227111816406
néctares de frutas o pulpa de frutas industrializados con az,205.7142791748047,folio_081596__intp_1,08,M0834,86,16403.978515625,-1.830307126045227,1,muy bajo,urbano,norte,masculino,34.78986740112305
bebidas o aguas de sabor industrializadas con azúcar (frutsi,68.57142639160156,folio_081596__intp_1,08,M0834,86,16403.978515625,-1.830307126045227,1,muy bajo,urbano,norte,masculino,34.78986740112305
refresco normal,514.28570556640625,folio_081596__intp_1,08,M0834,86,16403.978515625,-1.830307126045227,1,muy bajo,urbano,norte,masculino,34.78986740112305
refresco normal,205.7142791748047,folio_081627__intp_1,08,M0835,85,34063.69140625,0.3348209857940674,2,medio,urbano,norte,masculino,63.118412017822266
bebidas o aguas de sabor industrializadas con azúcar (frutsi,377.1428527832031,folio_081627__intp_1,08,M0835,85,34063.69140625,0.3348209857940674,2,medio,urbano,norte,masculino,63.118412017822266
aguas de fruta natural con azúcar,122.14286041259766,folio_081634__intp_1,08,M0835,85,34063.69140625,3.015998601913452,4,muy alto,urbano,norte,masculino,53.61806869506836
refresco normal,34.28571319580078,folio_081634__intp_1,08,M0835,85,34063.69140625,3.015998601913452,4,muy alto,urbano,norte,masculino,53.61806869506836
bebidas o aguas de sabor industrializadas con azúcar (frutsi,398.3999938964844,folio_081667__intp_1,08,M0836,85,14787.3388671875,-3.093339204788208,1,muy bajo,urbano,norte,masculino,50.8555793762207
refresco normal,360,folio_081674__intp_2,08,M0836,85,25163.162109375,-1.4915274381637573,1,muy bajo,urbano,norte,femenino,29.223819732666016
refresco normal,205.7142791748047,folio_081690__intp_2,08,M0837,86,11710.3916015625,-1.5356513261795044,1,muy bajo,urbano,norte,femenino,30.91307258605957
